Original,Th,En,ZhCn,ZhTw,Jp
UI Designer,UI Designer,UI Designer,界面设计,,UIデザイン
Model Simulator,Model Simulator,Model Simulator,模型模拟器,,モデルシミュレーター
English translator,English translator,English translator,英语翻译,,英語翻訳
Japanese translator,Japanese translator,Japanese translator,日语翻译,,日本語翻訳
Chinese translator,Chinese translator,Chinese translator,中文翻译,,中国語翻訳
Autosaved,ออโต้เซฟ,Auto-save,自动保存,,オートセーブ中
Restart,รีเซ็ต,Restart,重新挑战,,再戦
Back to menu,กลับสู่เมนู,Return to the menu,返回菜单,,メニューに戻る
- unequip -,ถอดไอเท็ม,Unequip,移除,,外す
Sell this item?,ต้องการขายไอเท็มชิ้นนี้?,Sell this item?,确认卖出吗？,,売りますか？
Combo_tutorial,คอมโบ,Combo,组合,,コンボ
Sell Item,ขาย,Sell,卖出,,売る
Play Time,เวลาที่เล่น,Playtime,游戏时长,,プレイタイム
hr,ชม.,hrs,小时,,時間
min,นาที,min,分钟,,分
REMOVE,ถอดออก,Remove,移除,,外す
Player save,เพลเยอร์เซฟ,Player-save,手動保存,,プレイヤーセーブ
Auto save,ออโต้เซฟ,Auto-save,自动保存,,オートセーブ
Likes,,,,,
Comments,,,,,
Followers,,,,,
Cats Note,,,,,
Gallery,,,,,
Memo,,,,,
Quests,,,,,
Mail Box,,,,,
Chat,,,,,
Money,,,,,
Yen,,,,,
